date_added_year,title_count,yoy_growth_pct,rolling_3yr_avg
2008.0,2,,2.0
2009.0,2,0.0,2.0
2010.0,1,-50.0,1.6666666666666667
2011.0,13,1200.0,5.333333333333333
2012.0,3,-76.92307692307692,5.666666666666667
2013.0,10,233.33333333333334,8.666666666666666
2014.0,24,140.0,12.333333333333334
2015.0,79,229.16666666666666,37.666666666666664
2016.0,432,446.83544303797464,178.33333333333334
2017.0,1201,178.00925925925927,570.6666666666666
2018.0,1661,38.30141548709409,1098.0
2019.0,2135,28.537025888019272,1665.6666666666667
2020.0,2008,-5.9484777517564424,1934.6666666666667
2021.0,117,-94.17330677290838,1420.0
