director,title_count
Unknown,2388
Jan Suter,21
Raúl Campos,19
Marcus Raboy,16
Jay Karas,15
Cathy Garcia-Molina,13
Jay Chapman,12
Martin Scorsese,12
Youssef Chahine,12
Steven Spielberg,10
David Dhawan,9
Shannon Hartman,9
Anurag Kashyap,9
Yılmaz Erdoğan,8
Ryan Polito,8
Johnnie To,8
Umesh Mehra,8
Hakan Algül,8
Justin G. Dyck,8
Robert Rodriguez,8
